iter	Passed	Remaining
198	483	1947
199	484	1939
200	486	1932
201	486	1923
202	487	1914
203	488	1906
204	489	1897
205	491	1894
206	492	1887
207	493	1879
208	494	1872
209	495	1865
210	496	1858
211	498	1852
212	499	1845
213	500	1838
214	501	1831
215	502	1824
216	503	1817
217	504	1810
218	505	1803
219	507	1797
220	508	1791
221	509	1786
222	511	1780
223	512	1774
224	513	1767
225	514	1761
226	515	1754
227	516	1748
228	517	1742
229	518	1736
230	519	1730
231	521	1724
232	522	1718
233	524	1715
234	525	1710
235	526	1703
236	527	1698
237	529	1694
238	530	1688
239	531	1683
240	532	1676
241	533	1670
242	534	1664
243	535	1658
244	536	1652
245	537	1647
246	538	1641
247	539	1635
248	540	1630
249	541	1624
250	542	1618
251	543	1613
252	544	1608
253	545	1602
254	546	1596
255	547	1591
256	548	1585
257	549	1580
258	550	1574
259	551	1568
260	552	1563
261	553	1558
262	554	1553
263	555	1549
264	557	1544
265	558	1540
266	559	1535
267	561	1532
268	562	1527
269	563	1522
270	563	1517
271	564	1511
272	566	1508
273	567	1504
274	569	1501
275	570	1496
276	572	1493
277	573	1489
278	574	1485
279	575	1480
280	576	1476
281	577	1471
282	578	1466
283	579	1461
284	580	1457
285	582	1453
286	583	1449
287	584	1445
288	586	1442
289	587	1439
290	602	1467
291	603	1463
292	607	1465
293	609	1462
294	610	1459
295	612	1456
296	614	1454
297	616	1452
298	619	1453
299	621	1450
300	623	1448
301	625	1444
302	626	1441
303	628	1439
304	630	1436
305	634	1438
306	637	1439
307	641	1441
308	646	1445
309	648	1444
310	650	1442
311	653	1440
312	655	1439
313	657	1436
314	659	1434
315	661	1432
316	663	1429
317	664	1426
318	666	1423
319	668	1420
320	669	1417
321	671	1414
322	675	1415
323	680	1418
324	682	1416
325	684	1414
326	685	1411
327	687	1408
328	690	1407
329	692	1405
330	694	1403
331	696	1401
332	698	1398
333	699	1394
334	700	1391
335	703	1389
336	704	1386
337	706	1383
338	708	1381
339	710	1378
340	711	1374
341	713	1372
342	715	1369
343	716	1366
344	718	1363
345	719	1360
346	721	1358
347	723	1354
348	724	1351
349	726	1348
350	727	1345
351	728	1341
352	730	1338
353	731	1335
354	733	1332
355	735	1330
356	737	1327
357	739	1325
358	741	1323
359	742	1320
360	744	1317
361	746	1314
362	747	1312
363	749	1309
364	750	1306
365	753	1304
366	754	1301
367	756	1298
368	757	1295
369	759	1292
370	760	1289
371	761	1286
372	763	1282
373	764	1279
374	766	1278
375	768	1275
376	769	1271
377	771	1269
378	773	1266
379	774	1264
380	776	1261
381	778	1258
382	780	1256
383	782	1254
384	783	1251
385	785	1249
386	787	1247
387	788	1244
388	790	1241
389	791	1238
390	792	1235
391	794	1231
392	795	1229
393	798	1228
394	799	1225
395	801	1222
396	803	1219
397	804	1217
398	806	1214
399	807	1210
400	808	1207
401	810	1206
402	812	1203
403	813	1200
404	815	1198
405	817	1196
406	819	1193
407	820	1191
408	822	1188
409	823	1185
410	825	1182
411	826	1180
412	828	1177
413	830	1175
414	831	1172
415	833	1170
416	835	1167
417	836	1165
418	838	1162
419	840	1160
420	842	1159
421	844	1157
422	846	1154
423	848	1152
424	849	1149
425	850	1146
426	852	1143
427	853	1140
428	855	1138
429	856	1135
430	858	1133
431	860	1130
432	861	1128
433	863	1126
434	865	1123
435	867	1122
436	868	1119
437	870	1117
438	873	1116
439	875	1114
440	877	1111
441	878	1109
442	880	1106
443	881	1103
444	882	1100
445	884	1098
446	887	1097
447	889	1095
448	890	1092
449	892	1090
450	893	1087
451	894	1084
452	896	1081
453	897	1079
454	900	1078
